0., 0
0.24166, 0.013454959913992107
0.48332, 0.055856530477213714
0.72498, 0.08716309842502065
0.96664, 0.20290952112317298
1.2083, 0.2197360902408934
1.44996, 0.2556921528820274
1.578, 0.26422969645970007
1.69162, 0.2948916508390451
1.93328, 0.2363355487406099
2.17494, 0.15720082587529263
2.4166, 0.12539006023788973
2.65826, 0.057418212850341044
2.89992, 0.013025170166431267
3.14158, 0
{1.578, 0.35182590262804303}
{1.578, 0.3396503519081092}
{1.578, 0.37275704374413743}
{1.578, 0.35490579039922265}
