0., 0
0.24166, 0.05705450429097161
0.48332, 0.21593352711624314
0.72498, 0.43968927353476683
0.96664, 0.6750866527440819
1.2083, 0.8740844037316342
1.44996, 0.9854444411556782
1.578, 0.9996182227013183
1.69162, 0.9854261060311997
1.93328, 0.8698077511822554
2.17494, 0.6730396747318733
2.4166, 0.4396855006372589
2.65826, 0.2159112822705813
2.89992, 0.057250169569176425
3.14158, 0
{0., 0}
{0.24166, 0.005750927677412245}
{0.48332, 0.04050453824425525}
{0.72498, 0.044810750755962164}
{0.96664, 0.1377082508453499}
{1.2083, 0.14065384901495995}
{1.44996, 0.11236351910665365}
{1.69162, 0.08463550410550064}
{1.93328, 0.10293562733708128}
{2.17494, 0.13270712649046393}
{2.4166, 0.10430500341473493}
{2.65826, 0.010751167235067626}
{2.89992, 0.004227095138639242}
{3.14158, 0}
